SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	CR2O3	FE2O3	FE2O3T	FEO	FEOT	NIO	MNO	MGO	CAO	NA2O	K2O	P2O5	BAO	LOI	H2O	H2O_M	H2O_P	SO3	V2O3	ZNO	FE	MN	NI	CO	CU	CD	ZN	AS	AG	S	AL	CA	MG	SR87_SR86	SR87_SR86_INI	RB87_SR86	ND143_ND144	SM147_ND144	PB206_PB204	PB207_PB204	PB208_PB204	BE10	BE10_BE9	SR87_SR86_INI	AR	AR39	AR40	AR38_AR36	AR40_AR36	AR40_AR39	LA	CE	PR	ND	SM	EU	GD	TB	DY	HO	ER	TM	YB	LU	CO2	F	CL	OH	U238_PB204	TH232_PB204	RA	AG	AL	AS	AU	B	BA	BE	BI	BR	C	CA	CD	CO	CR	CS	CU	GA	GER	HF	HG	I	INDIUM	K	LI	MG	MN	MO	NA	NB	NI	P	PB	PD	RB	RE	S	SB	SC	SE	SN	SR	TA	TE	TH	TI	TL	U	V	W	Y	ZN	ZR	TI	AS	AS	GER	H2O_M	H2O_P	H2O_M	H2O_P	INDIUM
PU-02-16		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5562	-72.1847	0.01				igneous	volcanic	felsic	dacite		70.055	0.644	14.092					4.238		0.111	0.594	2.094	5.244	2.788	0.141		0.02										3	65		109							0.704119																	35.1	73.2	8.47	37.4	8.8	1.81	8.18	1.45	8.83	1.87	5.51	0.92	5.89	0.91													728							3		4.7	65	18		8.6										8.1			19		72			0.6				153	0.52		8.7			2.38	10		53.6	109	340									
LL-160201-2		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.54	-72.15	0.01				igneous	volcanic	felsic	dacite		71.482	0.372	13.792					3.546		0.131	0.291	1.758	5.334	3.214	0.08																																							31	70.1	8.28	36.9	7.21	1.3	6.54	1.42	8.89	2.14	5.52		5.7	0.88													789																												69																		360									
PU-02-29		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5077	-72.2402	0.01				igneous	volcanic	felsic	dacite		69.467	0.739	14.227					4.476		0.11	0.669	2.268	5.245	2.638	0.16		0										4	73		117							0.704126																	31.5	66.7	7.88	35.1	8.36	1.78	7.79	1.41	8.74	1.8	5.44	0.87	5.8	0.91													778							4		4.9	73	19		8.4										8.4			20		70			0.6				168	0.52		9.07			2.51	16		53.7	117	341									
PU-02-40		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5983	-72.1358	0.01				igneous	volcanic	felsic	dacite		63.745	1.037	14.957					7.119		0.15	1.805	4.178	4.507	2.184	0.319		< 0.03										10	84		141							0.704113																	29.8	66.3	7.67	35.2	8.52	1.94	8.26	1.38	8.35	1.69	4.96	0.8	5.08	0.78													580							10	27	1.2	84	19		6.6										6.7			33		56			0.8				276	0.38		7.85			2.11	54		48.6	141	259									
PU 02 20		GEOROC	JICHA, B. R.; SINGER, B. S.; BEARD, B. L.; JOHNSON, CLARK M.; MORENO-ROA, HUGO; NARANJO, J. A., 2007		-40.5675	-72.1743	0.01				igneous	volcanic	felsic	dacite		69.367	0.531	14.15					5.167		0.15	0.471	2.213	5.167	2.664	0.12		< 0.16										1																											29.5	53.5	7.61	33.2	7.82	1.98	6.71	1.19	7.23	1.48	4.49	0.76	5.13	0.8													692							1		1.1				8										7.7					66							197	0.48		8.374			2.304			40		308									
AMPATO PUMICE		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.9	-72.1333	0.01	0.01	1.305	2.6	igneous	volcanic	felsic	rhyolite		75.606	0.174	13.348					0.967		0.051	0.209	0.907	2.92	5.788	0.03											20	11	51	0.0655512	84																								23.0143	44.2268	5.79401	22.9432	3.92675	1.04744	3.03271	0.358641	1.95074	0.348814	0.774099	0.117126	0.780463	0.114372													931						0.0655512	11	25	2.36181	51			2.93467					10.227			2.05685		8	20		12.5984		59				7.30244			726	0.58972		3.73103			1.01508	114	0.994547	14	84	152									
PIG-00-33		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-16.355	-72.1308	0.01	5.3	14.15	23	igneous	volcanic	felsic	rhyolite		68.573	0.406	15.915					2.759		0.089	2.147	3.482	3.29	3.215	0.125											0	18	1		54																								10.6266	23.0886	2.75644	10.2857	1.76455	0.296375	1.38958	0.190887	1.20755	0.244035	0.646113	0.108513	0.772005	0.120488													1288							18	1	3.7037	1	12		5.07391					20.2518			3.17502		15	0		26		132				5			135	0.570781		4.02857			0.517705	19	72.538	23	54	306									
AND-99-08		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.533	-72.3167	0.01				igneous	volcanic	felsic	dacite		68.14	0.595	15.39					3.134		0.046	1.134	2.916	4.02	4.404	0.222											15	9.23902	40	0.151562	78																								24.2391	52.7174	6.2139	23.2657	3.96533	0.96	2.7957	0.318033	1.57609	0.252193	0.622826	0.0802402	0.504348	0.075974													778						0.151562	9.23902		1.60428	40	21		4.84595					26.5995			1.68553		7	15		16		75				6			626	0.487006		5.18248			0.924103	78.7129	1.0247	11	78	202									
CM		GEOROC	GALAS, A., 2014		-15.4744	-72.0742	0.01	0.01	1.305	2.6	igneous	volcanic	felsic	dacite		68.974	0.546	15.164					2.798		0.051	1.143	2.975	4.53	3.613	0.206		1.33																																					35.8	68.6	7.58	24.3	4.2	0.98	3.2	0.4	2	0.3	0.9		0.8	0.11													906																							22			20		141			7.3				491			11.5			3.1	67		9		159									
OP-09		GEOROC	ONUMA, N.; MONTOYA, M., 1984		-15.375	-72.3983	0.01				igneous	volcanic	felsic	rhyolite																																				460																																													73					460																														168																				
