SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	CR2O3	FE2O3	FE2O3T	FEO	FEOT	NIO	MNO	MGO	CAO	NA2O	K2O	P2O5	BAO	LOI	H2O	H2O_M	H2O_P	SO3	V2O3	ZNO	FE	MN	NI	CO	CU	CD	ZN	AS	AG	S	AL	CA	MG	SR87_SR86	SR87_SR86_INI	RB87_SR86	ND143_ND144	SM147_ND144	PB206_PB204	PB207_PB204	PB208_PB204	BE10	BE10_BE9	SR87_SR86_INI	AR	AR39	AR40	AR38_AR36	AR40_AR36	AR40_AR39	LA	CE	PR	ND	SM	EU	GD	TB	DY	HO	ER	TM	YB	LU	CO2	F	CL	OH	U238_PB204	TH232_PB204	RA	AG	AL	AS	AU	B	BA	BE	BI	BR	C	CA	CD	CO	CR	CS	CU	GA	GER	HF	HG	I	INDIUM	K	LI	MG	MN	MO	NA	NB	NI	P	PB	PD	RB	RE	S	SB	SC	SE	SN	SR	TA	TE	TH	TI	TL	U	V	W	Y	ZN	ZR	TI	AS	AS	GER	H2O_M	H2O_P	H2O_M	H2O_P	INDIUM
300191-03		GEOROC	LOPEZ-ESCOBAR, L.; VERGARA, M. M., 1997		-37.5	-72	0.01				igneous	volcanic	felsic	dacite		67.726	0.508	14.324					4.464		0.093	2.517	4.143	3.532	2.569	0.124		2.86									12	14	39		62							0.703924			0.512862		18.445	15.597	38.4										16	36		21	4.35	1.12	4.18		5.08	1.1	3.21		3.1	0.5													460							14	110		39			5.8										5	12				65.8				19			260							75		31	62	180									
F		GEOROC	CASTRO, J. M.; SCHIPPER, C. I.; MUELLER, S. P.; MILITZER, A. S.; AMIGO, A.; PAREJAS, C. S.; JACOB, D. E., 2013		-40.5103	-72.1172	0.01				igneous	volcanic	felsic	rhyolite		71.007	0.691	14.622					3.956		0.14	0.561	2.003	4.126	2.784	0.11						0.017																																																	0.185																																																																	
F		GEOROC	CASTRO, J. M.; SCHIPPER, C. I.; MUELLER, S. P.; MILITZER, A. S.; AMIGO, A.; PAREJAS, C. S.; JACOB, D. E., 2013		-40.5103	-72.1172	0.01				igneous	volcanic	felsic	rhyolite		71.572	0.611	14.134					4.05		0.16	0.431	1.754	4.24	2.967	0.08						0.018																																																	0.206																																																																	
F		GEOROC	CASTRO, J. M.; SCHIPPER, C. I.; MUELLER, S. P.; MILITZER, A. S.; AMIGO, A.; PAREJAS, C. S.; JACOB, D. E., 2013		-40.5103	-72.1172	0.01				igneous	volcanic	felsic	rhyolite		72.23	0.491	14.025					3.837		0.13	0.491	1.563	4.178	2.985	0.07						0.027																																																	0.212																																																																	
4		GEOROC	SOLER, P.; BONHOMME, M. G., 1988		-10.7761	-76.3783	0.01		35.2		igneous	volcanic	felsic	dacite																																																	2.75e-09																																																																																							
PU-03-13		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5826	-72.1191	0.01				igneous	volcanic	felsic	dacite		66.823	0.733	15.174					5.241		0.122	1.048	3.155	4.885	2.605	0.214		0.9										6	80		144							0.704149																	35.6	77.1	9.31	38.8	8.58	1.94	7.84	1.39	8.61	1.76	5.21	0.83	5.28	0.79													662							6		4.1	80	19		8										8.1			24		66			0.7				222	0.47		8.04			2.25	36		46.1	144	299									
PU-05-11B		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5775	-72.1017	0.01				igneous	volcanic	felsic	dacite		68.463	0.77	14.467					4.974		0.122	0.75	2.502	5.136	2.654	0.162		1.28										4	18		69																								30.6	69.2	9.07	36.7	7.81	1.84	8.36	1.46	8.68	1.8	5.45	0.89	5.82	0.82													677							4		4.2	18	18		8.1										8.3			20		62			0.8				170	0.52		7.52			1.92	15		53.1	69	277									
PU-03-09		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5776	-72.1191	0.01				igneous	volcanic	felsic	dacite		64.9	1.064	14.517					7.12		0.133	1.494	3.427	4.542	2.476	0.327		1.31										7	77		130							0.704184																	29.9	64.1	7.71	34.9	8.55	2	8.49	1.42	8.67	1.78	5.23	0.79	5.32	0.81													602							7		3.5	77	18		6.9										6.3			17		62			0.5				232	0.41		8.47			2.3	37		49.6	130	260									
PU 02 36		GEOROC	JICHA, B. R.; SINGER, B. S.; BEARD, B. L.; JOHNSON, CLARK M.; MORENO-ROA, HUGO; NARANJO, J. A., 2007		-40.5768	-72.1063	0.01				igneous	volcanic	felsic	dacite		70.367	0.43	13.931					4.66		0.14	0.46	2.05	5.261	2.6	0.1		< 0.04										2																											32.4	68.3	8.12	36.6	8.69	1.82	7.95	1.5	9.32	1.93	5.83	0.94	6.11	0.96													795							2		4.5				8.2										7.9					65							155	0.51		8.817			2.389	6		55		322									
PU 03 10		GEOROC	JICHA, B. R.; SINGER, B. S.; BEARD, B. L.; JOHNSON, CLARK M.; MORENO-ROA, HUGO; NARANJO, J. A., 2007		-40.5825	-72.119	0.01		27		igneous	volcanic	felsic	dacite		65.208	1.059	14.431					7.009		0.141	1.452	3.399	4.538	2.451	0.313		0.57										7																											28.4	64.7	7.81	37.2	8.47	2.08	8.44	1.46	8.53	1.82	5.1	0.89	5.24	0.81													580							7		2.2				6.5										7.6					64							232	0.92		7.933			2.215	32		49		256									
PU 03 10		GEOROC	JICHA, B. R.; SINGER, B. S.; BEARD, B. L.; JOHNSON, CLARK M.; MORENO-ROA, HUGO; NARANJO, J. A., 2007		-40.5825	-72.119	0.01				igneous	volcanic	felsic	dacite																																																																																																																							8.459			2.425														
PU-05-12		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5775	-72.1017	0.01				igneous	volcanic	felsic	dacite		68.243	0.781	14.434					5.151		0.123	0.802	2.642	5.027	2.611	0.185		1.71										4	21		74							0.704131																	30.6	69.9	9.04	36.9	7.9	1.82	8.56	1.49	8.91	1.85	5.6	0.87	5.69	0.85													658							4		4.2	21	18		8.2										8			21		62			0.9				169	0.51		7.34			1.9	16		55.6	74	274									
PU-05-21		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5807	-72.0714	0.01				igneous	volcanic	felsic	dacite		70.013	0.391	14.197					4.739		0.14	0.381	1.984	5.29	2.775	0.09		0.13										1	20		93																								34.7	78.8	10.32	40.9	8.88	2	9.5	1.65	9.86	2.08	6.28	0.99	6.55	0.98													744							1		4.5	20	21		9										8.9			24		68			0.9				153	0.56		8.26			2.1			61.8	93	304									
PU-05-15		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5775	-72.1017	0.01				igneous	volcanic	felsic	dacite		68.475	0.767	14.455					5.099		0.14	0.789	2.636	5.013	2.452	0.173		6.49										6	33		63							0.704122																	29.1	66.1	8.57	35.3	7.46	1.77	8.35	1.45	8.6	1.8	5.39	0.86	5.73	0.83													659							6		4	33	18		7.9										8			13		61			0.6				171	0.5		7.13			1.83	14		54.9	63	272									
PU-05-23		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5822	-72.0551	0.01				igneous	volcanic	felsic	dacite		65.072	0.991	14.986					6.427		0.15	1.171	3.574	5.086	2.232	0.31		< 0.14										6	26		91																								28.8	65.5	8.88	37.1	8.07	2.14	8.77	1.49	8.89	1.85	5.59	0.85	5.49	0.81													618							6		3.5	26	21		7.1										7.4			17		52			0.8				242	0.46		6.34			1.61	41		55.4	91	246									
PU-02-36		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5768	-72.1063	0.01				igneous	volcanic	felsic	dacite		70.367	0.43	13.931					4.66		0.14	0.46	2.05	5.261	2.6	0.1		< 0.04										2	69		111							0.704141																	32.4	68.3	8.12	36.6	8.69	1.82	7.95	1.5	9.32	1.93	5.83	0.94	6.11	0.96													795							2		4.5	69	19		8.2										7.9			20		65			0.3				155	0.51		9.02			2.51	6		55.4	111	322									
PU-05-11A		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5775	-72.1017	0.01				igneous	volcanic	felsic	dacite		68.023	0.797	14.527					5.173		0.123	0.818	2.678	5.111	2.566	0.184		1.83										4	20		69							0.704122																	30.8	69.4	9.22	36.9	8.04	1.92	8.65	1.47	8.69	1.83	5.57	0.87	5.68	0.86													703							4		4.4	20	19		8.2										8.7			17		63			0.8				190	0.5		7.39			1.86	18		56.5	69	288									
PU-02-13		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5672	-72.1282	0.01				igneous	volcanic	felsic	dacite		71.344	0.356	13.82					4.075		0.132	0.285	1.707	5.335	2.876	0.071		0.16											70		143							0.70413																	38.5	80	9.33	41.1	9.54	1.9	8.8	1.6	9.84	2.06	6.12	1.01	6.44	1.01													774									4.8	70	20		8.7										8.1			28		76			0.9				137	0.55		8.88			2.4			59.9	143	354									
PU-03-11		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5776	-72.1191	0.01				igneous	volcanic	felsic	dacite		65.042	1.06	14.589					6.963		0.153	1.336	3.782	4.363	2.365	0.347		1.86										7	75		133							0.704159																	29.4	62.9	7.52	34.6	8.38	1.97	8.16	1.39	8.4	1.69	5.1	0.77	5.2	0.78													610							7		4.7	75	19		7										6.9			18		66			0.6				243	0.41		8.28			2.26	37		50.1	133	276									
PU-03-10		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5776	-72.1191	0.01				igneous	volcanic	felsic	dacite		65.208	1.059	14.431					7.009		0.141	1.452	3.399	4.538	2.451	0.313		0.57									20	7	88		103							0.704151																	28.4	64.7	7.81	37.2	8.47	2.08	8.44	1.46	8.53	1.82	5.1	0.79	5.24	0.81													580							7		2.2	88	19		6.5										7.6	20		11		64			0.4				232	0.92		7.9			2.2	32		48.9	103	256									
III-D4		GEOROC	GERLACH, D. C.; FREY, F. A.; MORENO-ROA, HUGO; LOPEZ-ESCOBAR, L., 1988		-40.59	-72.12	0.01				igneous	volcanic	felsic	dacite		69.048	0.753	14.488					4.445		0.12	0.663	2.58	5.141	2.59	0.171					0.3						8	4.79			95							0.70406			0.512859														28.9	70.9		36.22	8.3	1.67		1.12					5.55	0.86	0.04												667.5							4.79	4.8	4.7		17.7		7.88				21442						9.7	8		21		66.5				14			182.6	0.51		7.77				19		52.1	95	343						0.3		0.3	
III-D4		GEOROC	GERLACH, D. C.; FREY, F. A.; MORENO-ROA, HUGO; LOPEZ-ESCOBAR, L., 1988		-40.59	-72.12	0.01				igneous	volcanic	felsic	dacite																																									0.512853																																																																																															
CV-D2		GEOROC	GERLACH, D. C.; FREY, F. A.; MORENO-ROA, HUGO; LOPEZ-ESCOBAR, L., 1988		-40.59	-72.12	0.01				igneous	volcanic	felsic	dacite		69.155	0.792	14.381					4.44		0.11	0.602	2.557	5.165	2.627	0.17					0.13						7	4.4			93							0.70415			0.512858														30.9	71.9		36.77	8.41	1.83		1.34					5.84	0.87	0.02												690.9							4.4	0.8	4.77		18		7.65				21331						9.5	7		21.5		65.2				15.1			188	0.51		7.99				13		54.4	93	341						0.13		0.13	
PU-03-21		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.5846	-72.098	0.01				igneous	volcanic	felsic	dacite		70.689	0.39	13.976					4.446		0.13	0.38	1.868	5.255	2.767	0.1		< 0.17										1	60		130							0.704113																	25	53.5	6.29	27.9	6.81	1.85	6.44	1.15	7.06	1.44	4.46	0.73	5.08	0.8													735							1		1	60	19		8.5										8.2			28		63			0.7				142	0.54		9.04			2.24			40	130	326									
III-R1		GEOROC	GERLACH, D. C.; FREY, F. A.; MORENO-ROA, HUGO; LOPEZ-ESCOBAR, L., 1988		-40.59	-72.12	0.01				igneous	volcanic	felsic	rhyolite		70.412	0.682	14.191					4.037		0.12	0.442	2.128	5.108	2.76	0.12					0.14						2				86																																						0.03												688								1			17.3												9.4	2		23		722							163.4			9				10		53.6	86	355						0.14		0.14	
LAYER C		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.7268	-71.7858	0.01				igneous	volcanic	felsic	rhyolite		70.495	0.696	14.275					3.55		0.125	0.613	2.191	5.274	2.647	0.135		1.5									1	3.5	18		80																								35	73	9	41	9	2	9	2	9	2	6	1	6	1													787							3.5		5	18	21		10					30					10	1		24		77				12			177	1		9			3	21		57	80	362									
1		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.5072	-71.1517	0.01				igneous	volcanic	felsic	rhyolite		70.397	0.687	14.09					3.596		0.123	0.605	2.142	5.554	2.674	0.133		0.71									1	3	16		84																								32	71	9	38	9	2	8	1	8	2	5	1	5	1													725							3		5	16	20		9					30					9	1		22		73				12			161	1		8			2	14		53	84	334									
LAYER A		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.7268	-71.7858	0.01				igneous	volcanic	felsic	rhyolite		70.939	0.67	14.105					3.479		0.124	0.577	2.103	5.217	2.64	0.144		1.79									3	4	18		79																								33	73	9	39	9	2	8	1	8	2	5	1	6	1													746							4		5	18	20		9					30					9	3		23		75				12			161	1		8			2	16		54	79	342									
LAYER K2		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.6875	-71.6981	0.01				igneous	volcanic	felsic	rhyolite		71.25	0.657	13.896					3.474		0.121	0.576	2.021	5.245	2.658	0.101		1.56									0	4	17		80																								32	71	9	36	9	2	9	1	9	2	6	1	6	1													714							4		5	17	21		10					30					10	0		24		77				12			172	1		9			2	13		57	80	364									
PU-04-04E		GEOROC	SINGER, B. S.; JICHA, B. R.; HARPER, M. A.; NARANJO, J. A.; LARA, L. E.; MORENO-ROA, HUGO, 2008		-40.6127	-71.7063	0.01				igneous	volcanic	felsic	dacite		68.297	0.458	15.393					5.246		0.146	0.739	2.373	4.85	2.394	0.104		3.67										4	30		100							0.704117																	33.2	74.3	9.76	39.8	8.93	1.83	8.73	1.55	9.15	1.98	6.42	0.99	6.23	0.93													697							4		4.1	30	22		9.1										9.6			16		59			1.7				166	0.56		8.25			2.24	18		58.4	100	310									
LAYER D		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.7268	-71.7858	0.01				igneous	volcanic	felsic	rhyolite		70.817	0.666	13.952					3.549		0.121	0.625	2.149	5.377	2.603	0.141		1.56									1.5	4	19		82																								34	73	9	40	9	2	9	2	9	2	6	1	6	1													776							4		5	19	20		9					30					10	1.5		22		76				12			173	1		9			2	23		56	82	355									
2		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.5072	-71.1517	0.01				igneous	volcanic	felsic	rhyolite		70.784	0.674	14.226					3.47		0.119	0.565	2.092	5.264	2.677	0.129		0.22									0	3	57		92																								32	71	9	38	9	2	8	1	8	2	5	1	5	1													731							3		5	57	19		9					30					9	0		25		73				13			158	1		8			2	12		53	92	332									
XM-23		GEOROC	MELLA, M.; MUNOZ, J. B.; VERGARA, M. M.; KLOHN, E.; FARMER, G. L.; STERN, C. R., 2005		-41.1883	-71.8341	0.01		1.3		igneous	volcanic	felsic	dacite		64.998	0.641	17.148					4.198		0.193	1.211	3.419	5.414	2.524	0.254		1.2									34	2	11		91																								28.4	62.7	6.63	30	5.62	1.47	4.52	1.02	5.34	1.2	3.21	0.452	3.26	0.478													662							2	159		11													8	34				49				7			498							10		28	91	217									
LAYER B		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.7268	-71.7858	0.01				igneous	volcanic	felsic	rhyolite		70.676	0.675	14.233					3.496		0.114	0.582	2.13	5.288	2.67	0.135		1.56									1	3	17		78																								33	73	9	40	9	2	9	1	8	2	5	1	6	1													757							3		5	17	20		9					27					9	1		21		74				12			162	1		9			2	14		54	78	340									
LAYER F		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.7268	-71.7858	0.01				igneous	volcanic	felsic	rhyolite		70.583	0.676	14.049					3.615		0.123	0.625	2.172	5.38	2.623	0.154		1.54									2	4	18		81																								33	72	9	37	9	2	9	1	9	2	6	1	6	1													725							4		5	18	20		10					30					10	2		23		76				12			175	1		9			2	16		57	81	360									
LAYER E		GEOROC	PISTOLESI, M.; CIONI, R.; BONADONNA, C.; ELISSONDO, M.; BAUMANN, V.; BERTAGNINI, A.; CHIARI, L.; GONZALES, R.; ROSI, M.; FRANCALANCI, L., 2015		-40.7268	-71.7858	0.01				igneous	volcanic	felsic	rhyolite		70.598	0.668	14.079					3.588		0.123	0.617	2.148	5.385	2.631	0.164		1.53									0	3	18		83																								33	73	9	38	9	2	9	1	9	2	6	1	6	1													736							3		5	18	20		10					30					10	0		23		77				12			175	1		9			2	15		58	83	364									
CZ40		GEOROC	MUNOZ, J. B.; STERN, C. R., 1988		-38	-71	0.01	2.6	2.2	5.3	igneous	volcanic	felsic	dacite																																																			2.54e-07																																															2.96																																						
CZ40		GEOROC	MUNOZ, J. B.; STERN, C. R., 1988		-38	-71	0.01	2.6	3.95	5.3	igneous	volcanic	felsic	dacite		63.272	1.046	17.372					5.03		0.102	1.503	3.239	4.731	3.391	0.315				0	1.42						2							0																																			0												850				0.05				3															20	2				91		0					420							72		28		313					0	1.42	0	1.42	
TC36		GEOROC	MUNOZ, J. B.; STERN, C. R., 1988		-37.83	-71.2	0.01				igneous	volcanic	felsic	rhyolite		75.289	0.201	13.626					1.568		0.05	0.181	0.786	3.948	4.32	0.03				0	0.36						5							0																																			0.12												520				0.04				5															14	5				130		0					101							10		17		135					0	0.36	0	0.36	
TC40		GEOROC	MUNOZ, J. B.; STERN, C. R.; BERMUDEZ, A.; DELPINO, D.; DOBBS, M. F.; FREY, F. A., 1989		-38	-71	0.01	0.01	2	2.6	igneous	volcanic	felsic	rhyolite																																																			3.77e-07																																															4.861																																						
TAT156		GEOROC	FERGUSON, K. M.; DUNGAN, M. A.; DAVIDSON, J. P.; COLUCCI, M. T., 1992		-36	-70.5	0.01				igneous	volcanic	felsic	dacite																												23																												58.2		28				0.67						0.455																				23	14	2.2								23077						6																		2.52														
CAL57		GEOROC	DAVIDSON, J. P.; FERGUSON, K. M.; COLUCCI, M. T.; DUNGAN, M. A., 1988		-36	-70.5	0.01	0.01	1.305	2.6	igneous	volcanic	felsic	rhyolite		75.09	0.233	14.086					1.258		0.02	0.284	0.942	4.003	4.043	0.041											11																18.636	15.623	38.55										25.2				3.03	0.55							1.45														571													5.05											11				145				2.3			115	0.555		17.9						14		181									
PED34		GEOROC	FERGUSON, K. M.; DUNGAN, M. A.; DAVIDSON, J. P.; COLUCCI, M. T., 1992		-36	-70.5	0.01				igneous	volcanic	felsic	dacite																												46																												71.4		36				1.02						0.523																				46	22	5.66								25733						8																		2.83														
BT-2C		GEOROC	COSTA, F. G.; DUNGAN, M. A.; SINGER, B. S., 2001		-36	-70.5	0.01				igneous	volcanic	felsic	dacite		36.782	4.812	14.352	0				21.02		0.318	12.508		0.7	9.508		0.55																																																					0	0																																																																	
GUA21		GEOROC	FEELEY, T. C.; DUNGAN, M. A., 1996		-36	-70.5	0.01				igneous	volcanic	felsic	dacite		66.307	0.635	15.994					3.973		0.091	1.462	3.388	4.699	3.288	0.161											11																																																						563								4																11				112							314			14			5	52		20		246									
PED11		GEOROC	DAVIDSON, J. P.; FERGUSON, K. M.; COLUCCI, M. T.; DUNGAN, M. A., 1988		-36	-70.5	0.01	0.01	1.305	2.6	igneous	volcanic	felsic	dacite		63.5	0.651	16.801					4.78		0.092	2.564	5.088	3.979	2.351	0.193											30																18.582	15.615	38.5										20				3.76	0.95							1.41														506													4.45											30				77				10.9			485	0.403		7.88						15		145									
PED11		GEOROC	DAVIDSON, J. P.; DUNGAN, M. A.; FERGUSON, K. M.; COLUCCI, M. T., 1987		-36	-70.5	0.01	0.01	1.305	2.6	igneous	volcanic	felsic	dacite																																						0.70406			0.51278		18.582												20			18									1.41																															19175											77							485																				
C170544		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		5.79																																																																																																																						
C170545		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		5.43																																																																																																																						
C170546		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		2.18																																																																																																																						
C170547		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		3.94																																																																																																																						
C170548		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		1.01																																																																																																																						
C170549		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		1.81																																																																																																																						
C170550		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		1.57																																																																																																																						
C170551		USGS	USGS, 2008		-36	-70.5	0.01	2	2	2	igneous	volcanic	felsic	rhyolite																		1.19																																																																																																																						
PETDB-2826-220		EARTHCHEMDB	MACDONALD, R; SMITH, R L; THOMAS, J E, 1991	nr	-36.0917	-70.5167	0.0001				igneous	volcanic	felsic	unknown		74.744	0.23	14.147					1.019		0.1	0.2	0.731	4.889	3.908	0.03					0.21							0.3			36																								35	64		26	5	0.69	3.8	0.42				0.3	2.2	0.3		0.04	0.13										724	2.9						0.3	1.2	4.5				4.9					34			4		11			19		165			0.8	2.3		1.2	99	1.18		20			5.8		1.8	24	36	174						0.21		0.21	
PETDB-2826-205		EARTHCHEMDB	MACDONALD, R; SMITH, R L; THOMAS, J E, 1991	nr	-36.0083	-70.575	0.0001				igneous	volcanic	felsic	unknown		75.759	0.182	13.414					0.907		0.091	0.141	0.707	4.576	4.212	0.01					0.12							0.3			29																								35	58		21	3.8	0.51	3.3					0.37	1.9	0.28		0.03	0.11										680	2.6						0.3		5.8				4.2					38			4.2		12			23		182				2.5		1.6	80	1.18		24			6.7		2	25	29	122						0.12		0.12	
Q-180		GEOROC	RUPRECHT, P.; BERGANTZ, G. W.; COOPER, KARI M.; HILDRETH, R. A., 2012		-35.58	-70.85	0.01	-0.002	0.0049	0.0118	igneous	volcanic	felsic	dacite		67.216	0.592	16.156					3.484		0.09	1.064	2.691	5.292	3.193	0.221																																																																																																																								
11		GEOROC	VERGARA, M. M.; MORATA, D.; HICKEY-VARGAS, R.; LOPEZ-ESCOBAR, L.; BECCAR, I., 1999		-35.67	-71.2	0.01	2.6	12.8	23	igneous	volcanic	felsic	dacite		64.62	0.839	16.225					6.388		0.114	1.398	4.297	4.494	1.45	0.176		3.02									1.1	16	16		75																								11	25		14	3.28	1.32	3.29		3.62	0.78	2.21		2.25	0.33													258							16	17		16			3										9	1.1				34				18			296							99		25	75	117									
Q-04 (HF)		GEOROC	RUPRECHT, P.; COOPER, KARI M., 2012		-35.58	-70.85	0.01				igneous	volcanic	felsic	dacite																									3713.49				0.895948		8.54265																								9.18164	13.0056	1.39522	4.8897	0.663258	1.5331	0.478434	0.0536149	0.341706	0.0608063		0.0258341	0.201565	0.0347203													561.076									0.666121	0.895948			0.797696				7651.75					79082.5	1.06085			7.78229	769.755	10.9543				0.691886			1122.74	0.598215		1.00863			0.231983			1.96229	8.54265	31.2819									
126		GEOROC	VERGARA, M. M.; MORATA, D.; HICKEY-VARGAS, R.; LOPEZ-ESCOBAR, L.; BECCAR, I., 1999		-35.67	-71.2	0.01	2.6	35.3	23	igneous	volcanic	felsic	rhyolite		71.881	0.41	14.141					4.23		0.143	0.512	2.785	4.28	1.526	0.092		1.78									4	4	7		81																				1.195e-06				13	30		20	5.12	1.27	6.06		6.49	1.43	4.05		4.1	0.64													375							4	2		7			4				0.862						5	4				35				13			161							6		42	81	162									
Q-04		GEOROC	RUPRECHT, P.; BERGANTZ, G. W.; COOPER, KARI M.; HILDRETH, R. A., 2012		-35.58	-70.85	0.01	-0.002	0.0049	0.0118	igneous	volcanic	felsic	dacite																											12		8		53																																																		636								0		8													8	12											260							29			53	267									
Q-04		GEOROC	RUPRECHT, P.; COOPER, KARI M., 2012		-35.58	-70.85	0.01	-0.002	0.0049	0.0118	igneous	volcanic	felsic	dacite																																																																											155						521.7																																						1.11			0.33														
Q-04		GEOROC	RUPRECHT, P.; COOPER, KARI M., 2012		-35.58	-70.85	0.01	-0.002	0.0049	0.0118	igneous	volcanic	felsic	dacite																									3444.95				0.798097		7.79161																								8.76872	12.2546	1.29978	4.52701	0.601414	1.50328	0.451186	0.0461791	0.314088	0.0518852		0.0218877	0.184085	0.0293385													555.169									0.577301	0.798097			1.73784				7301.8					76830.5	1.78682			7.53661	565.813	10.0993				0.574398			1047.61	2.11227		1.06876			0.129395			1.70577	7.79161	38.1721									
VQ-11		GEOROC	RUPRECHT, P.; BERGANTZ, G. W.; COOPER, KARI M.; HILDRETH, R. A., 2012		-35.58	-70.85	0.01	-0.002	0.0049	0.0118	igneous	volcanic	felsic	dacite		67.749	0.577	16.002					3.289		0.093	1.021	2.578	5.258	3.279	0.155											17		12		60																								23	41		20																							605								26		12	18												8	17		16		100				9			275			8				44		24	60	252									
VQ-11		GEOROC	RUPRECHT, P.; BERGANTZ, G. W.; COOPER, KARI M.; HILDRETH, R. A., 2012		-35.58	-70.85	0.01	-0.002	0.0049	0.0118	igneous	volcanic	felsic	dacite		72.197	0.473	14.457					2.073		0.081	0.41	1.101	5.014	4.141	0.053																																																							0.1463																																																																	
